,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mayo,US,38.8876,-76.5119,40.95,80,0,4.0,clear sky
79,Daru,PG,-9.0763,143.2092,81.54,82,100,7.85,overcast clouds
80,San Alberto,CO,7.7611,-73.3922,73.74,93,73,2.95,broken clouds
81,Lebu,CL,-37.6167,-73.65,53.22,91,21,2.8,few clouds
82,Chulman,RU,56.8479,124.9104,5.14,86,100,3.83,overcast clouds
83,Severo-Kurilsk,RU,50.6789,156.125,35.44,81,96,34.61,light rain
84,Iracoubo,GF,5.4802,-53.2011,78.67,84,16,10.85,few clouds
85,Cherskiy,RU,68.75,161.3,-32.22,100,95,5.44,overcast clouds
86,Lompoc,US,34.6391,-120.4579,46.58,93,0,0.0,mist
87,Mataura,NZ,-46.1927,168.8643,70.02,58,99,2.3,overcast clouds
88,Nhulunbuy,AU,-12.2333,136.7667,92.01,52,75,10.36,broken clouds
89,Luau,AO,-10.7073,22.2247,64.9,89,100,2.42,overcast clouds
90,Cape Town,ZA,-33.9258,18.4232,63.91,88,40,10.36,scattered clouds
91,Aykhal,RU,66.0,111.5,-16.67,95,60,6.26,broken clouds
92,Ignatovka,RU,53.9479,47.6536,24.1,71,100,15.03,overcast clouds
93,Marystown,CA,47.1666,-55.1483,40.73,81,100,35.05,overcast clouds
94,Hermanus,ZA,-34.4187,19.2345,63.81,79,17,13.11,few clouds
95,Yerbogachen,RU,61.2767,108.0108,-8.07,86,9,5.84,clear sky
96,Arraial Do Cabo,BR,-22.9661,-42.0278,73.72,93,100,18.99,overcast clouds
97,Tasiilaq,GL,65.6145,-37.6368,33.96,97,100,4.32,overcast clouds
98,Maningrida,AU,-12.0667,134.2667,90.55,54,73,10.69,broken clouds
99,Beyneu,KZ,45.3167,55.2,34.66,69,70,17.94,broken clouds
100,Saint-Philippe,RE,-21.3585,55.7679,78.39,64,51,11.41,broken clouds
101,Iqaluit,CA,63.7506,-68.5145,8.33,85,100,16.11,light snow
102,Villa Carlos Paz,AR,-31.4241,-64.4978,63.39,78,0,1.01,clear sky
103,Husavik,IS,66.0449,-17.3389,42.82,89,100,7.02,overcast clouds
104,Hobart,AU,-42.8794,147.3294,48.06,87,75,20.71,broken clouds
105,Hilo,US,19.7297,-155.09,72.25,88,75,9.22,light rain
106,Tiznit,MA,29.5833,-9.5,65.86,25,1,6.2,clear sky
107,Mahebourg,MU,-20.4081,57.7,78.26,47,40,10.36,scattered clouds
108,Krasnoselkup,RU,65.7,82.4667,-13.16,93,63,10.74,broken clouds
109,Shenjiamen,CN,29.9576,122.298,57.34,71,100,11.25,overcast clouds
110,Carnarvon,AU,-24.8667,113.6333,84.18,43,0,14.7,clear sky
111,Svetlogorsk,BY,52.6333,29.7333,33.58,93,98,6.58,overcast clouds
112,Kovdor,RU,67.5662,30.4758,20.23,99,90,3.09,overcast clouds
113,Opuwo,NA,-18.0607,13.84,65.93,29,11,4.0,few clouds
114,Torbay,CA,47.6666,-52.7314,42.76,84,75,35.68,broken clouds
115,Port Alfred,ZA,-33.5906,26.891,70.18,77,56,3.0,broken clouds
116,Provost,CA,52.3501,-110.2683,12.65,100,91,3.71,overcast clouds
117,Khash,IR,28.2211,61.2158,59.43,37,32,3.78,scattered clouds
118,Touros,BR,-5.1989,-35.4608,77.54,78,40,10.89,scattered clouds
119,Leningradskiy,RU,69.3833,178.4167,-9.47,96,70,4.99,broken clouds
120,Bredasdorp,ZA,-34.5322,20.0403,62.83,72,25,12.53,scattered clouds
121,Boa Vista,BR,2.8197,-60.6733,78.78,83,0,6.91,clear sky
122,Methven,NZ,-43.6333,171.65,62.91,64,47,6.89,scattered clouds
123,Anuchino,RU,43.9622,133.0544,33.19,60,41,6.98,scattered clouds
124,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,0,11.5,clear sky
125,Norsup,VU,-16.0667,167.3833,83.46,68,17,2.08,few clouds
126,East London,ZA,-33.0153,27.9116,68.94,73,0,14.97,clear sky
127,Adrar,MR,20.5022,-10.0711,72.79,27,66,10.49,broken clouds
128,New Norfolk,AU,-42.7826,147.0587,47.7,84,100,5.01,moderate rain
129,Nelson Bay,AU,-32.7167,152.15,75.09,64,80,10.0,broken clouds
130,Namatanai,PG,-3.6667,152.4333,83.68,68,96,12.8,overcast clouds
131,Victoria,HK,22.2855,114.1577,82.45,79,93,11.01,overcast clouds
132,Katsuura,JP,35.1333,140.3,57.45,86,100,16.78,overcast clouds
133,San Policarpo,PH,12.1791,125.5072,82.15,85,100,10.47,moderate rain
134,Ahipara,NZ,-35.1667,173.1667,63.79,87,100,9.15,overcast clouds
135,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.0,95,84,6.53,broken clouds
136,Chokurdakh,RU,70.6333,147.9167,-17.55,99,100,9.15,overcast clouds
137,Meadow Lake,US,34.8014,-106.5436,39.11,53,0,5.21,clear sky
138,Dikson,RU,73.5069,80.5464,6.87,95,100,14.16,light snow
139,Kjopsvik,NO,68.097,16.3742,30.07,75,13,6.73,few clouds
140,Constitucion,CL,-35.3333,-72.4167,57.45,81,2,9.26,clear sky
141,Santa Marta,CO,11.2408,-74.199,80.89,78,20,3.44,few clouds
142,Natal,BR,-5.795,-35.2094,77.65,78,20,8.05,few clouds
143,Oksovskiy,RU,62.6062,39.8984,24.3,98,87,0.85,overcast clouds
144,Bagdarin,RU,54.4333,113.6,24.98,62,36,8.5,scattered clouds
145,Shakiso,ET,5.75,38.9167,62.29,66,23,3.29,few clouds
146,Atuona,PF,-9.8,-139.0333,77.68,75,3,16.22,clear sky
147,Xinqing,CN,48.2333,129.5,28.63,53,91,6.64,overcast clouds
148,Haldia,IN,22.0605,88.1097,80.42,33,4,9.42,clear sky
149,Thompson,CA,55.7435,-97.8558,-3.84,84,0,0.0,clear sky
150,Saint-Leu,RE,-21.15,55.2833,77.86,63,12,9.26,few clouds
151,Dajal,PK,29.5577,70.3762,71.6,34,0,10.02,clear sky
152,Khandbari,NP,27.3747,87.2039,70.14,54,6,3.83,clear sky
153,Manaus,BR,-3.1019,-60.025,82.89,78,0,5.75,clear sky
154,Chapleau,CA,47.8405,-83.4034,21.24,88,100,4.12,overcast clouds
155,Soubre,CI,5.7856,-6.6083,71.17,99,68,1.28,broken clouds
156,Hamilton,US,39.1834,-84.5333,36.93,70,0,11.5,clear sky
157,Naze,JP,28.3667,129.4833,63.52,75,100,10.45,overcast clouds
158,Vanimo,PG,-2.6741,141.3028,75.76,95,100,1.68,overcast clouds
159,Lamar,US,33.6668,-95.5836,38.35,96,100,6.91,overcast clouds
160,Ancud,CL,-41.8697,-73.8203,54.45,96,100,14.47,light rain
161,Pevek,RU,69.7008,170.3133,-12.01,100,100,2.42,overcast clouds
162,Esperance,AU,-33.8667,121.9,64.65,52,77,10.11,broken clouds
163,Kavieng,PG,-2.5744,150.7967,84.43,73,86,12.71,light rain
164,Lokachi,UA,50.737,24.6494,40.75,93,80,6.51,broken clouds
165,Paramonga,PE,-10.6667,-77.8333,62.8,89,23,6.69,few clouds
166,Wooster,US,40.8051,-81.9351,34.68,85,20,6.91,few clouds
167,Mandalgovi,MN,45.7625,106.2708,36.32,26,2,11.63,clear sky
168,Margate,GB,51.3813,1.3862,54.3,85,100,8.99,overcast clouds
169,Geraldton,AU,-28.7667,114.6,91.81,15,0,19.57,clear sky
170,Bereda,ES,43.2686,-7.5406,56.41,100,100,10.89,light rain
171,Pelym,RU,61.0108,61.9978,0.63,89,97,12.46,overcast clouds
172,Faanui,PF,-16.4833,-151.75,78.91,78,87,3.6,overcast clouds
173,The Valley,AI,18.217,-63.0578,80.82,77,52,20.69,broken clouds
174,Pimentel,PE,-6.8367,-79.9342,62.29,86,16,9.98,few clouds
175,Chernyakhovsk,RU,54.6335,21.8156,38.75,94,65,5.12,broken clouds
176,Tautira,PF,-17.7333,-149.15,78.73,81,100,9.04,light rain
177,Kemise,ET,10.7167,39.8667,66.24,53,0,1.14,clear sky
178,Teacapan,MX,22.55,-105.75,69.55,81,60,5.01,broken clouds
179,Buala,SB,-8.145,159.5921,83.08,71,48,3.56,scattered clouds
180,Vaitape,PF,-16.5167,-151.75,78.87,78,86,3.69,overcast clouds
181,Henties Bay,NA,-22.116,14.2845,59.18,95,19,4.52,few clouds
182,Klaksvik,FO,62.2266,-6.589,49.12,86,100,34.09,overcast clouds
183,Fukue,JP,32.6881,128.8419,59.36,58,75,12.66,broken clouds
184,Mirabela,BR,-16.2628,-44.1644,66.72,98,100,4.12,light rain
185,Portland,US,45.5234,-122.6762,46.38,61,0,26.46,clear sky
186,Provideniya,RU,64.3833,-173.3,30.36,69,100,18.01,overcast clouds
187,Salalah,OM,17.0151,54.0924,84.29,37,0,0.0,clear sky
188,Fortuna,US,40.5982,-124.1573,41.34,97,0,8.05,clear sky
189,Vestmannaeyjar,IS,63.4427,-20.2734,45.43,84,100,10.25,overcast clouds
190,Ulladulla,AU,-35.35,150.4667,63.99,58,35,8.39,scattered clouds
191,Abrau-Dyurso,RU,44.69,37.59,33.26,77,10,6.15,clear sky
192,Vanderhoof,CA,54.0166,-124.0198,18.77,98,100,0.58,overcast clouds
193,Jamestown,US,42.097,-79.2353,35.19,87,100,3.44,overcast clouds
194,Luderitz,NA,-26.6481,15.1594,60.06,87,8,6.38,clear sky
195,Miramar,US,25.9873,-80.2323,81.0,78,0,9.22,clear sky
196,Narwar,IN,25.65,77.9,76.5,33,0,3.36,clear sky
197,Grindavik,IS,63.8424,-22.4338,41.47,93,0,11.5,clear sky
198,Marrakesh,MA,31.6315,-8.0083,60.87,44,40,4.61,scattered clouds
199,Bom Conselho,BR,-9.1697,-36.6797,67.42,87,27,7.36,scattered clouds
200,Jasper,US,37.2001,-94.3502,34.0,90,100,5.75,mist
201,Pacific Grove,US,36.6177,-121.9166,49.68,85,0,1.01,clear sky
202,Nizhniy Tsasuchey,RU,50.5167,115.1333,31.33,57,48,13.91,scattered clouds
203,Wenling,CN,28.3669,121.36,58.73,88,100,9.22,overcast clouds
204,Lavrentiya,RU,65.5833,-171.0,23.74,90,23,9.53,few clouds
205,Kloulklubed,PW,7.0419,134.2556,77.5,81,100,21.54,overcast clouds
206,Sorong,ID,-0.8833,131.25,85.75,69,85,5.14,overcast clouds
207,Oktyabrskoye,RU,43.0645,44.7417,37.54,86,75,2.24,broken clouds
208,Katherine,AU,-14.4667,132.2667,93.52,49,78,5.75,broken clouds
209,Kuybysheve,UA,47.358,36.6491,29.88,76,12,5.23,few clouds
210,Safford,US,32.834,-109.7076,53.11,41,0,5.75,clear sky
211,Saldanha,ZA,-33.0117,17.9442,59.05,80,13,5.46,few clouds
212,Enumclaw,US,47.2043,-121.9915,43.07,87,2,1.99,clear sky
213,Cairns,AU,-16.9167,145.7667,100.06,67,39,8.05,scattered clouds
214,Korampallam,IN,8.7667,78.1,86.29,66,40,13.8,haze
215,Ginda,IN,30.6945,78.4932,60.51,37,0,4.32,clear sky
216,Sayyan,YE,15.1718,44.3244,52.72,34,0,5.06,clear sky
217,Ningyang,CN,35.7642,116.7914,61.45,27,0,5.46,clear sky
218,Ribeira Grande,PT,38.5167,-28.7,59.77,85,62,4.0,broken clouds
219,Erdenet,MN,49.0333,104.0833,30.6,48,10,3.85,clear sky
220,Saskylakh,RU,71.9167,114.0833,-16.11,96,93,6.91,overcast clouds
221,Luanda,AO,-8.8368,13.2343,75.2,78,75,3.44,broken clouds
222,Lahij,YE,13.1667,44.5833,73.44,69,0,5.44,clear sky
223,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,40,18.41,scattered clouds
224,Izhma,RU,65.0083,53.9113,-4.97,99,83,4.5,broken clouds
